Reference,Name,Wiki link,Form of,Gender,Rank,Type
Aryaman,Aryaman,Aryaman,Themselves,male,unknown,rigvedic
Bhaga,Bhaga,Bhaga,Themselves,male,unknown,rigvedic
Vivasvan,Vivasvan,Surya,Themselves,male,unknown,rigvedic
Tvāṣṭṛ,Tvāṣṭṛ,Tvastar,Themselves,male,unknown,rigvedic
Pūshan,Pūshan,Pushan,Themselves,male,unknown,rigvedic
Agni,Agni,Agni,Themselves,male,unknown,rigvedic
Vāyu,Vāyu,V%C4%81yu,Themselves,male,unknown,rigvedic
Dyauṣ,Dyauṣ,Dyaus,Themselves,male,unknown,rigvedic
Pṛthivī,Pṛthivī,Prithvi,Themselves,female,unknown,rigvedic
Chandra,Chandra,Chandra,Themselves,male,unknown,rigvedic
Dhruva,Dhruva,Dhruva,Themselves,male,unknown,rigvedic
Nasatya,Nasatya,Ashvins,Themselves,male,unknown,rigvedic
Dasra,Dasra,Ashvins,Themselves,male,unknown,rigvedic
Parjanya,Parjanya,Parjanya,Indra,male,unknown,rigvedic
