,Name,name-greek,main-type,sub-type,description,Wiki link,Reference
101,Eris,Ἔρις,personification,personification,"spirit of strife, discord, contention, and rivalry",Eris_(mythology),Eris
102,Anteros,Ἀντέρως,personification,personification,god of requited love,Anteros,Anteros
103,Hedylogos,Ἡδύλογος,personification,personification,god of sweet talk and flattery,Hedylogos,Hedylogos
104,Himeros,Ἵμερος,personification,personification,god of sexual desire,Erotes#Himeros,Himeros
105,Pothos,Πόθος,personification,personification,"god of sexual longing, yearning, and desire",Erotes#Pothos,Pothos
106,Eucleia,Εὔκλεια,personification,personification,spirit of good repute and glory,Eucleia,Eucleia
107,Eulabeia,Εὐλάβεια,personification,personification,"spirit of discretion, caution, and circumspection",Eulabeia_(mythology),Eulabeia
108,Eupheme,Εὐφήμη,personification,personification,"spirit of words of good omen, acclamation, praise, applause, and shouts of triumph",Eupheme_(deity),Eupheme
109,Eupraxia,Eὐπραξία,personification,personification,spirit of well-being,Eupraxia_(mythology),Eupraxia
110,Eusebeia,Eὐσέβεια,personification,personification,"spirit of piety, loyalty, duty, and filial respect",Eusebeia,Eusebeia
111,Euthenia,Εὐθενία,personification,personification,"spirit of prosperity, abundance, and plenty",Euthenia,Euthenia
112,Gelos,Γέλως,personification,personification,spirit of laughter,Gelos_(mythology),Gelos
113,Geras,Γῆρας,personification,personification,spirit of old age,Geras,Geras
114,Harmonia,Ἁρμονία,personification,personification,goddess of harmony and concord,Harmonia,Harmonia
115,Hedone,Ἡδονή,personification,personification,"spirit of pleasure, enjoyment, and delight",Hedone,Hedone
116,Heimarmene,Εἵμαρμένη,personification,personification,personification of share destined by fate,Heimarmene,Heimarmene
117,Homados,Ὅμαδος,personification,personification,spirit of the din of battle,Homados,Homados
118,Homonoia,Ὁμόνοια,personification,personification,"spirit of concord, unanimity, and oneness of mind",Homonoia_(mythology),Homonoia
119,Horkos,Ὅρκος,personification,personification,spirit of oaths,Horkos,Horkos
120,Horme,Ὁρμή,personification,personification,"spirit of impulse or effort (to do a thing), eagerness, setting oneself in motion, and starting an action",Horme,Horme
121,Hybris,Ὕβρις,personification,personification,spirit of outrageous behaviour,Hybris_(mythology),Hybris
122,The Hysminai,Ὑσμῖναι,personification,personification,spirits of fighting and combat,Hysminai,The Hysminai
123,Ioke,Ἰωκή,personification,personification,spirit of pursuit in battle,Ioke_(mythology),Ioke
124,Kakia,Kακία,personification,personification,spirit of vice and moral badness,Kakia,Kakia
125,The Keres,Κῆρες,personification,personification,spirits of violent or cruel death,Keres,The Keres
126,Koalemos,Κοάλεμος,personification,personification,spirit of stupidity and foolishness,Koalemos,Koalemos
127,Kratos,Κράτος,personification,personification,"spirit of strength, might, power, and sovereign rule",Kratos_(mythology),Kratos
128,Kydoimos,Κυδοιμός,personification,personification,"spirit of the din of battle, confusion, uproar, and hubbub",Kydoimos,Kydoimos
129,Lethe,Λήθη,personification,personification,"spirit of forgetfulness and oblivion, and of the river of the same name",Lethe,Lethe
130,Limos,Λιμός,personification,personification,spirit of hunger and starvation,Limos,Limos
131,The Litae,Λιταί,personification,personification,spirits of prayer,Litae,The Litae
132,Lyssa,Λύσσα,personification,personification,"spirit of rage, fury and rabies in animals",Lyssa,Lyssa
133,The Machai,Μάχαι,personification,personification,spirits of fighting and combat,Machai,The Machai
134,Mania,Μανία,personification,personification,"spirit or spirits of madness, insanity, and frenzy",Maniae,Mania
135,Clotho,Κλωθώ,personification,personification,spinner of the life thread (fates; μοίραι),Clotho,Clotho
136,Lachesis,Λάχεσις,personification,personification,measurer of the life thread (fates; μοίραι),Lachesis,Lachesis
137,Atropos,Άτροπος,personification,personification,severer of the life thread (fates; μοίραι),Atropos,Atropos
138,Momus,Μῶμος,personification,personification,"spirit of mockery, blame, censure and stinging criticism",Momus,Momus
139,Moros,Μόρος,personification,personification,spirit of doom,Moros,Moros
140,The Neikea,τὰ Νείκη,personification,personification,"spirits of quarrels, feuds and grievances",Neikea,The Neikea
141,Nike,Νίκη,personification,personification,goddess of victory,Nike_(mythology),Nike
142,Nomos,Νόμος,personification,personification,spirit of law,Nomos_(mythology),Nomos
143,Oizys,Ὀϊζύς,personification,personification,spirit of woe and misery,Oizys,Oizys
144,The Oneiroi,Ὄνειροι,personification,personification,dreams,Oneiros,The Oneiroi
145,Palioxis,Παλίωξις,personification,personification,"spirit of backrush, flight and retreat from battle",Palioxis,Palioxis
146,Peitharchia,Πειθαρχία,personification,personification,spirit of discipline,Peitharchia,Peitharchia
147,Peitho,Πειθώ,personification,personification,spirit of persuasion and seduction,Peitho,Peitho
148,Penia,Πενία,personification,personification,spirit of poverty and need,Penia,Penia
149,Penthus,Πένθος,personification,personification,"spirit of grief, mourning, and lamentation",Penthus,Penthus
150,Pepromene,Πεπρωμένη,personification,personification,"personification of the destined share, similar to heimarmene",Pepromene,Pepromene
151,Pheme,Φήμη,personification,personification,"spirit of rumour, report, and gossip",Pheme,Pheme
152,Philophrosyne,Φιλοφροσύνη,personification,personification,"spirit of friendliness, kindness, and welcome",Philophrosyne,Philophrosyne
153,Philotes,Φιλότης,personification,personification,"spirit of friendship, affection, and sexual intercourse",Philotes,Philotes
154,Phobos,Φόβος,personification,personification,"spirit of panic fear, flight, and battlefield rout",Phobos_(mythology),Phobos
155,The Phonoi,Φόνοι,personification,personification,"spirits of murder, killing, and slaughter",Phonoi,The Phonoi
156,Phrike,Φρίκη,personification,personification,spirit of horror and trembling fear,Phrike,Phrike
157,Phthonus,Φθόνος,personification,personification,spirit of envy and jealousy,Phthonus,Phthonus
158,Pistis,Πίστις,personification,personification,"spirit of trust, honesty, and good faith",Pistis,Pistis
159,Poine,Ποίνη,personification,personification,"spirit of retribution, vengeance, recompense, punishment, and penalty for the crime of murder and manslaughter",Poena,Poine
160,Polemos,Πόλεμος,personification,personification,personification of war,Polemos,Polemos
161,Ponos,Πόνος,personification,personification,spirit of hard labour and toil,Ponos,Ponos
162,Poros,Πόρος,personification,personification,"spirit of expediency, the means of accomplishing or providing, contrivance and device",Porus_(mythology),Poros
163,Praxidike,Πραξιδίκη,personification,personification,spirit of exacting justice,Praxidice,Praxidike
164,Proioxis,Προίωξις,personification,personification,spirit of onrush and battlefield pursuit,Proioxis,Proioxis
165,Prophasis,Πρόφασις,personification,personification,spirit of excuses and pleas,Prophasis,Prophasis
166,Ptocheia,Πτωχεία,personification,personification,spirit of beggary,Ptocheia,Ptocheia
167,Soter,Σωτήρ,personification,personification,"male spirit of safety, preservation, and deliverance from harm",Soter_(daimon),Soter
168,Soteria,Σωτηρία,personification,personification,"female personification of safety, preservation, and deliverance from harm",Soteria_(mythology),Soteria
169,Sophrosyne,Σωφροσύνη,personification,personification,"spirit of moderation, self-control, temperance, restraint, and discretion",Sophrosyne,Sophrosyne
170,Thrasos,Θράσος,personification,personification,spirit of boldness,Thrasos,Thrasos
171,Tyche,Τύχη,personification,personification,"goddess of fortune, chance, providence, and fate",Tyche,Tyche
172,Zelos,Ζῆλος,personification,personification,"spirit of eager rivalry, emulation, envy, jealousy, and zeal",Zelus,Zelos
173,Amphiaraus,Ἀμφιάραος,god,chthonic," seer, and one of the seven against thebes who became an oracular spirit of the underworld after his death",Amphiaraus,Amphiaraus
174,Angelos,Ἄγγελος,god,chthonic, daughter of zeus and hera who became an underworld goddess,Angelos_(mythology),Angelos
175,Askalaphos,Ἀσκάλαφος,god,chthonic, son of acheron and orphne who tended the underworld orchards before being transformed into a screech owl by demeter,Ascalaphus_(son_of_Acheron),Askalaphos
176,Charon,Χάρων,god,chthonic,ferryman of hades,Charon,Charon
177,Erebos,Ἔρεβος,god,chthonic," primeval god of darkness, his mists encircled the underworld and filled the hollows of the earth",Erebus,Erebos
178,Alecto,Ἀληκτώ,god,chthonic,goddesses of retribution; the unceasing one (furies; ἐρινύες),Alecto,Alecto
179,Tisiphone,Τισιφόνη,god,chthonic,goddesses of retribution; the avenger of murder (furies; ἐρινύες),Tisiphone_(mythology),Tisiphone
180,Megaera,Μέγαιρα,god,chthonic,goddesses of retribution; the jealous one (furies; ἐρινύες),Megaera,Megaera
181,Hecate,Ἑκάτη,god,chthonic,"goddess of magic, witchcraft, the night, moon, ghosts, and necromancy",Hecate,Hecate
182,Aiakos,Αἰακός,god,chthonic,"former mortal king of aegina, guardian of the keys of hades and judge of the men of europe",Aeacus,Aiakos
183,Minos,Μίνως,god,chthonic,former mortal king of crete and judge of the final vote,Minos,Minos
184,Rhadamanthys,Ῥαδάμανθυς,god,chthonic,former mortal lawmaker and judge of the men of asia,Rhadamanthus,Rhadamanthys
185,Keuthonymos,Κευθόνυμος,god,chthonic, underworld spirit and father of menoetes,Ceuthonymus,Keuthonymos
186,Gorgyra,Γοργύρα,god,nymph, torch-bearing underworld nymph (lampades; λαμπάδες),nan,Gorgyra
187,Orphne,Ορφνη,god,nymph,"lampad nymph of hades, mother of askalaphos (lampades; λαμπάδες)",Orphne,Orphne
188,Macaria,Μακαρία,god,chthonic,goddess of blessed death and daughter of Hades,Macaria,Macaria
189,Melinoe,Μελινόη,god,chthonic,daughter of persephone and zeus who presided over the propitiations offered to the ghosts of the dead,Melino%C3%AB,Melinoe
190,Menoetes,Μενοίτης,god,chthonic, underworld spirit who herded the cattle of hades,Menoetius,Menoetes
191,Zagreus,Ζαγρεύς,god,chthonic,"underworld god, possibly the son of Hades and Persephone or Zeus and Persephone",Zagreus,Zagreus
192,Aegaeon,Αιγαίων,god,sea,god of violent sea storms and ally of the titans,Aegaeon_(mythology),Aegaeon
193,Amphitrite,Αμφιτρίτη,god,sea,sea goddess and consort of poseidon,Amphitrite,Amphitrite
194,Benthesikyme,Βενθεσικύμη,god,sea,"daughter of poseidon, who resided in ethiopia",Benthesikyme,Benthesikyme
195,Brizo,Βριζώ,god,sea,"patron goddess of sailors, who sent prophetic dreams",Brizo,Brizo
196,Ceto,Κῆτώ,god,sea,goddess of the dangers of the ocean and of sea monsters,Ceto,Ceto
197,Cymopoleia,Κυμοπόλεια,god,sea, daughter of poseidon married to the giant briareus,Kymopoleia,Cymopoleia
198,Eidothea,Ειδοθέα,god,nymph,prophetic sea nymph and daughter of proteus,Eidothea_(Greek_myth),Eidothea
199,Glaucus,Γλαῦκος,god,sea, fishermans sea god and oracle,Glaucus,Glaucus
200,Leucothea,Λευκοθέα,god,sea, sea goddess who aided sailors in distress,Leucothea,Leucothea
201,Arethusa,Αρετούσα,god,nymph,sea nymph and  daughter of nereus who was transformed into a fountain,Arethusa_(mythology),Arethusa
202,Dynamene,Δυναμένη,god,nymph,sea nymph associated with the might and power of great ocean swells,Dynamene,Dynamene
203,Galene,Γαλήνη,god,nymph,sea nymph and goddess of calm seas,Galene_(mythology),Galene
204,Psamathe,Πσαμάθη,god,nymph,sea nymph and goddess of sand beaches,Psamathe_(Nereid),Psamathe
205,Thetis,Θέτις,god,nymph,sea nymph and leader of the nereids who presided over the spawning of marine life in the sea,Thetis,Thetis
206,Nereus,Νηρέας,god,nymph,"sea nymph and  old man of the sea, and the god of the seas rich bounty of fish",Nereus,Nereus
207,Nerites,Νερίτης,god,sea, sea spirit who was transformed into a shell-fish by aphrodite,Nerites_(mythology),Nerites
208,Idyia,Ίδυια,god,nymph,"sea nymph and wife of the colchian king aeetes, mother of medea",Idyia,Idyia
209,Palaemon,Παλαίμων,god,sea, young sea god who aided sailors in distress,Palaemon_(Greek_mythology),Palaemon
210,Phorcys,Φόρκυς,god,sea,god of the hidden dangers of the deep,Phorcys,Phorcys
211,Proteus,Πρωτεύς,god,sea," shape-shifting, prophetic old sea god, and the herdsman of poseidons seals",Proteus,Proteus
212,Sangarius,Σαγγάριος,god,sea, river-god,Sangarius_(mythology),Sangarius
213,Actaeus,Ακταίος,god,sea,sea spirit native to the island of rhodes (telchines; τελχινες),Actaeus_(mythology),Actaeus
214,Argyron,Αργυρών,god,sea,sea spirit native to the island of rhodes (telchines; τελχινες),nan,Argyron
215,Althaemenes,Αταβύριος,god,sea,sea spirit native to the island of rhodes (telchines; τελχινες),Althaemenes,Althaemenes
216,Chalcon,Χαλκών,god,sea,sea spirit native to the island of rhodes (telchines; τελχινες),Chalcon,Chalcon
217,Chrysus,Χρυσών,god,sea,sea spirit native to the island of rhodes (telchines; τελχινες),Chrysus,Chrysus
218,Damon,Δαμων,god,sea,sea spirit native to the island of rhodes (telchines; τελχινες),nan,Damon
219,Dexithea,Δεξιθέα,god,sea,sea spirit native to the island of rhodes (telchines; τελχινες),Dexithea_(mythology),Dexithea
220,Lycus,Λύκος,god,sea,sea spirit native to the island of rhodes (telchines; τελχινες),Lycus_(mythology),Lycus
221,Lysagora,Λυσαγόρα,god,sea,sea spirit native to the island of rhodes (telchines; τελχινες),nan,Lysagora
222,Makelo,Μακελώ,god,sea,sea spirit native to the island of rhodes (telchines; τελχινες),Macelo_(mythology),Makelo
223,Megalesius,Μεγαλήσιος,god,sea,sea spirit native to the island of rhodes (telchines; τελχινες),nan,Megalesius
224,Myles,Μύλας,god,sea,sea spirit native to the island of rhodes (telchines; τελχινες),Myles,Myles
225,Nikon,Νίκων,god,sea,sea spirit native to the island of rhodes (telchines; τελχινες),nan,Nikon
226,Ormenos,Ορμενος,god,sea,sea spirit native to the island of rhodes (telchines; τελχινες),Ormenus,Ormenos
227,Simon,Σίμων,god,sea,sea spirit native to the island of rhodes (telchines; τελχινες),nan,Simon
228,Skelmis,Σκελμις,god,sea,sea spirit native to the island of rhodes (telchines; τελχινες),nan,Skelmis
229,Thaumas,Θαῦμας,god,sea,god of the wonders of the sea,Thaumas,Thaumas
230,Thoosa,Θόοσα,god,sea,goddess of swift currents,Thoosa,Thoosa
231,Triteia,Τριτεια,god,sea,daughter of triton and companion of ares,Triteia,Triteia
232,Triton,Τρίτων,god,sea,fish-tailed son and herald of poseidon,Triton_(mythology),Triton
233,Aeolus,Αίολος,god,sky,god of the winds,Aeolus,Aeolus
234,Alectrona,Αλεκτρονα,god,sky,solar goddess of the morning or waking up,Electryone,Alectrona
235,Aparctias,Απαρκτίας,god,sky,"another name for the north wind (anemoi, άνεμοι)",nan,Aparctias
236,Apheliotes,Αφηλιώτης,god,sky,"god of the east wind (anemoi, άνεμοι)",nan,Apheliotes
237,Argestes,Αργέστης,god,sky,"another name for the west or northwest wind (anemoi, άνεμοι)",nan,Argestes
238,Boreas,Βορέας,god,sky,"god of the north wind and of winter (anemoi, άνεμοι)",Anemoi#Boreas,Boreas
239,Caicias,Καικίας,god,sky,"god of the northeast wind (anemoi, άνεμοι)",nan,Caicias
240,Circios,Κίρκιος,god,sky,"god of the north-northwest wind (anemoi, άνεμοι)",Circe,Circios
241,Euronotus,Ευρονότος,god,sky,"god of the southeast wind (anemoi, άνεμοι)",nan,Euronotus
242,Eurus,Εύρος,god,sky,"god of the unlucky east or southeast wind (anemoi, άνεμοι)",nan,Eurus
243,Lips,Λίψ,god,sky,"god of the southwest wind (anemoi, άνεμοι)",nan,Lips
244,Notus,Νότος,god,sky,"god of the south wind (anemoi, άνεμοι)",nan,Notus
245,Skeiron,Σκείρων,god,sky,"god of the northwest wind (anemoi, άνεμοι)",Sciron,Skeiron
246,Zephyrus,Ζέφυρος,god,sky,"god of the west wind (anemoi, άνεμοι)",Anemoi#Zephyrus_(Favonius),Zephyrus
247,Arke,Άρκη,god,sky,messenger of the titans and twin sister of iris,Arke,Arke
248,Stilbon,Στιλβών,god,sky,"god of hermaon, the planet mercury",Stilbon_(mythology),Stilbon
249,Eosphorus,Ηωσφόρος,god,sky,god of venus the morning star,Phosphorus_(morning_star),Eosphorus
250,Hesperus,Ἓσπερος,god,sky,god of venus the evening star,Hesperus,Hesperus
251,Pyroeis,Πυρόεις,god,sky,"god of areios, the planet mars",Pyroeis,Pyroeis
252,Phaethon,Φαέθων,god,sky,"god of dios, the planet jupiter",Phaethon,Phaethon
253,Phaenon,Φαίνων,god,sky,"god of kronion, the planet saturn",Phaenon,Phaenon
254,Aura,Αὖρα,god,sky,"goddess of the breeze and the fresh, cool air of early morning",Aura_(mythology),Aura
255,Chione,Χιόνη,god,sky,goddess of snow and daughter of boreas,Chione_(Greek_myth),Chione
256,Ersa,Ἕρση,god,sky,goddess of the morning dew,Ersa,Ersa
257,The Hesperides,´Εσπερίδες,god,nymph,nymphs of the evening and sunset,Hesperides,The Hesperides
258,Iris,Ίρις,god,sky,goddess of the rainbow and divine messenger,Iris_(mythology),Iris
259,Nephele,Νεφέλη,god,nymph,cloud nymph,Nephele,Nephele
260,Pandia,Πανδία,god,sky,"personification of the moon, daughter of selene and zeus",Pandia,Pandia
261,Alcyone,Αλκυόνη,god,sky,goddess of the star cluster pleiades and were associated with rain (pleiades; πλειάδες),Alcyone_(mythology),Alcyone
