,Name,name-greek,main-type,sub-type,description,Wiki link,Reference
318,Scamander,Σκάμανδρος,god,rustic,river god (potamoi; ποταμοί),Scamander,Scamander
319,Priapus,Πρίαπος,god,rustic,god of garden fertility,Priapus,Priapus
320,Silenus,Σειληνός,god,rustic, old rustic god of the dance of the wine-press,Silenus,Silenus
321,Telete,Τελέτη,god,rustic,goddess of initiation into the bacchic orgies,Telete,Telete
322,Adonis,Άδωνις,god,agriculture, life-death-rebirth deity,Adonis,Adonis
323,Aphaea,Αφαία,god,agriculture,minor goddess of agriculture and fertility,Aphaea,Aphaea
324,Cyamites,Κυαμίτης,god,agriculture,demi-god of the bean,Cyamites,Cyamites
325,Despoina,Δέσποινη,god,agriculture,"daughter of poseidon and demeter, goddess of mysteries in arcadia",Despoina,Despoina
326,Eunostus,Εύνοστος,god,agriculture,goddess of the flour mill,Eunostus,Eunostus
327,Persephone,Περσεφόνη,god,agriculture,"queen of the underworld, wife of hades and goddess of spring growth",Persephone,Persephone
328,Philomelus,Φιλόμελος,god,agriculture,agricultural demi-god inventor of the wagon and the plough,Philomelus,Philomelus
329,Plutus,Πλοῦτος,god,agriculture,"god of wealth, including agricultural wealth, son of demeter",Plutus,Plutus
330,Triptolemus,Τριπτόλεμος,god,agriculture,"god of farming and agriculture, he brought agriculture to greece",Triptolemus,Triptolemus
331,Asclepius,Ασκληπιός,god,health,god of medicine,Asclepius,Asclepius
332,Aceso,Ἀκεσώ,god,health,goddess of the healing of wounds and the curing of illnesses,Aceso,Aceso
333,Aegle,Αἴγλη,god,health, goddess of radiant good health,Aegle_(mythology),Aegle
334,Epione,Ἠπιόνη,god,health,goddess of the soothing of pain,Epione,Epione
335,Hygieia,Ὑγεία,god,health,goddess of cleanliness and good health,Hygieia,Hygieia
336,Iaso,Ἰασώ,god,health,"goddess of cures, remedies, and modes of healing",Iaso,Iaso
337,Paean,Παιάν,god,health,physician of the gods,Paean_(god),Paean
338,Panacea,Πανάκεια,god,health,goddess of healing,Panacea,Panacea
339,Telesphorus,Τελεσφόρος,god,health,"demi-god of convalescence, who brought to fulfillment recuperation from illness or injury",Telesphorus_(mythology),Telesphorus
340,Empusa,Ἔμπουσα,god,sleep,goddess of shape-shifting,Empusa,Empusa
341,Epiales,Ἐφιάλτης,god,sleep,goddess of nightmares,Epiales,Epiales
