,Tweets,index
2,when guys pee do they hold it like an ares or an odin?,13
3,"Between the aesir and the Olympians,the aesir despite being a warrior race who won wars with pure strength especially Odin before gaining magic are far weaker than the Olympians like Zeus who didn’t rely on magic after gaining magic,in all honesty,you put ares vs thor. ares wins",13
0,"1 God War Mars
2 God Sky Jupiter
3 God Speed Mercury
4 God Time Saturn
5 Goddess Love Venus
6 Goddess Earth Gaia
7 God Sky Uranus
8 God Seas Neptune 
9 God Underworld Pluto

1 God War Odin
2 God Thunder Thor
3 God Mischief Loki",17
0,"People have been fascinated with old gods for hundreds of years. Even though their temples lay in ruins - the myths of ancient deities, their beauty &amp; flaws inspire artists to this day.

Here's my take on the immortal beings - The Enchanted - Persephone, Artemida, Hekate, Odin
🧵 https://t.co/151Xc6aHZO",18
0,"Odin seems pretty odd in the greater indo-european context;

Most other proto IE descended god kings seem to fit the Dyḗus archetype (Zeus, Jupiter, Perun (Slavic), Dievs (Baltic), Indra, etc.)

but Thor seems to occupy that role in Norse myth instead",20
1,"Loki and Thor

#loki #thor #disney #hercules #disneycollection #hades #zeus #stitch #scar #pegasus #toys #figure https://t.co/MAH4tivEQL",20
2,o zeus em thor love and thunder https://t.co/W6cGVIOh0a,20
3,"Saevios, King of the Gods of  the Successor States of Rega, on the world of Telluria, Lord of Storms and War. Think Thor, but smart, and Zeus, but not a douche-nozzle. Read his full deific write up here, and consider buying my Gods of Rega collection. #ttrpg #mythology🔗👇 https://t.co/PL9ZX4obiw",20
4,Finished #GodofWarRagnarok. That shit was actually really good once you get past the first 9 hours. 29 hours playtime total. Heimdall was the best boss for me. Thor was sadly underused and overall underwhelming. Great Odin portrayal and better villain than Zeus. 8/10,20
5,"So Thor: Love and Thunder, two plot scenarios were actually SHOT. One where Zeus sympathizes with Thor and helps Thor and the one we got where Zeus doesn't want to help and is a dickhead. The initial one Zeus guides Thor and even explains to him how his Thunderbolt world's. Sigh",20
6,Why Thor and Zeus fighting on my bday,20
7,In the same sense that I think that Russell Crowe’s Zeus in Thor Love &amp; Thunder is the best representation of Zeus,20
8,"I mean going off of MCU scaling Hercules has no scaling yet so can't even say 

However Thor rn is like a top 3 strongest Avenger and just quite literally one shot Zeus so he's evidently the strongest god in the MCU rn as well, so seems in his favor to me 🤷‍♂️ https://t.co/viW3YG1NJF",20
9,"Religious people be believing in any shit their ‘God’ said like ‘Jesus said homosexuality is a sin and you all should follow the path as well’ Like bruh. Have you ever seen a Greek person saying and following Zeus's path? Like come on dude, isn't Loki a God as well?☠️",20
10,"Wish the fight with Zeus was cooler ngl, that fight with Thor was fucking awesome tho",20
11,You do not owe #jesus anything! He never did anything for you. You do not owe him anything other than what THOR did to zeus...stop trying to make this curse and false god something it isn't. Stop believing all of this propaganda...#christianityisfake,20
12,Kratos a man from Greece the son of Zeus and the Greek god of War has Loki as a son did not fight Thor btw https://t.co/gDIPtqhT3S,20
13,"Thor: Love and Thunder (2022) is exactly what I hope for in a Thor #movie. 
It's funny, it's cool and it's very silly.
Music of Guns N' Roses and Russell Crowe as Zeus is the cherry on top 7.5/10 https://t.co/mksCyH1KcO",20
14,Watching Thor Love and Thunder and how did none of you tell me about Russell Crowe as Zeus??,20
0,I want to make a little pagan altar in my room somewhere for Thor or Aphrodite. For the aesthetics,22
0,"God of war ragnarok such a wild ride 😩🥺 def such char growth since the first slash smash happy game until now… gotta say tho, Thor is actually my fav char 😭; Heimdall should’ve ended more like Hermes did 🙄; Fenrir is the bestest of bestest boi 🥹❤️ now… side quests",23
0,"Gaia
Ovelle
and i am willing to name my son Thor HAHA",24
1,"💎 Best APY
1. DOGE.DOGE: 22.6% (+1.51 %)
2. GAIA.ATOM: 22.1% (+1.18 %)
3. AVAX.AVAX: 18.2% (+1.58 %)
💸 Top volume
1. BNB.BUSD: $9.8M (-16.4 %)
2. ETH.ETH: $9.2M (+7.47 %)
3. BNB.TWT: $7.8M (+1,544 %)
🏊 Max Liquidity
1. BTC.BTC: $20.5M (-1.59 %)
2. ETH.ETH: $12.8M 
3. BNB.BUSD:",24
2,"💎 Best APY
1. DOGE.DOGE: 21.1% (+3.9 %)
2. GAIA.ATOM: 20.9% (-1.8 %)
3. AVAX.AVAX: 16.6% (-6.31 %)
💸 Top volume
1. BNB.BUSD: $11.7M 
2. ETH.ETH: $8.6M (-26.6 %)
3. BTC.BTC: $5.5M (-59.3 %)
🏊 Max Liquidity
1. BTC.BTC: $20.9M (-20.5 %)
2. ETH.ETH: $12.9M (-21.3 %)
3. BNB.BUSD: $",24
3,"1 God War Mars
2 God Sky Jupiter
3 God Speed Mercury
4 God Time Saturn
5 Goddess Love Venus
6 Goddess Earth Gaia
7 God Sky Uranus
8 God Seas Neptune 
9 God Underworld Pluto

1 God War Odin
2 God Thunder Thor
3 God Mischief Loki",24
4,"💎 Best APY
1. AVAX.USDC: 30.3% (-12.1 %)
2. AVAX.AVAX: 22.9% 
3. GAIA.ATOM: 22.7% (+1.92 %)
💸 Top volume
1. BTC.BTC: $13.5M (+107.6 %)
2. BNB.BUSD: $11.8M (+113.9 %)
3. ETH.ETH: $11.7M (+128.4 %)
🏊 Max Liquidity
1. BTC.BTC: $26.2M (-11.7 %)
2. ETH.ETH: $16.3M (-14.4 %)
3. BNB.",24
0,"Loki and Thor

#loki #thor #disney #hercules #disneycollection #hades #zeus #stitch #scar #pegasus #toys #figure https://t.co/MAH4tivEQL",25
1,"No #Godspouse doesn't mean you're married to Loki, Hades, Thor, or any of that nonsense #WitchTok and #CyberWitches . If you think it does it's time to take your anti psychotics. t). Godspousing is not a marraige it's a lifelong vow to bind oneself to the service of a deity. https://t.co/SyLrh6tFXk",25
2,Pov : Thor runs into Hades who is still grieving Persephone https://t.co/S0ZedXgN2A https://t.co/HccSfGPjVm,25
3,"✎ | : | OKAY BUT . Since Odin and Thor (Mostly Odin) know about the greek pantheon , that would indicate a friendship between the two , or atleast acknowledgment

Therefore, since Hades is one of the three main brothers , my headcanon is that he knows some norse gods",25
4,This fight gonna turn into Hades vs Thor real quick .... https://t.co/WU2CfSA3YH,25
5,Thor e Hades Mid Diff https://t.co/tL8DQJBMlr,25
0,"Man I have to give a round of applause to the guys at santa Monica studio,the transition of the old God of war to the new wasn't an easy thing to do,from Greek mythology to Norse mythology, from battling Zeus and Poseidon to battling Thor and Odin,you guys broke all boundaries❤️.",26
1,"Thor to #Kratos : ""You seem like a calm and reasonable person.""

Poseidon: https://t.co/W982GPU3tP",26
0,"FUNKO POP! RAVAGER THOR - THOR: LOVE AUND THUNDER VINYL FIGURE SPECIAL EDITION
https://t.co/Riqz4l5yvi",27
0,"#EAVISION Drone Family （Hercules/Thor/Demeter）Flight Demo in Brazil.
EAVISION #dronesprayer have the right spray type for your crops. With the bimodal mist nozzle, the droplet size distribution can be set according to your needs. 
#Agriculturedrone #UAV #Robot #sprayingdrone https://t.co/lpA8pwTyt1",29
0,"""You know its funny, despite the fact that Ares was 100ft tall he was much less intimidating than Thor is right now""
-
Angriest Pat 2022

and he's right",33
1,"Sentry has more hax but Superman has better feats and scaling. Sentry is in the same tier as Thor and Hulk, and he has The Void. He also killed Post Retcon Molecule Man and Ares. It will be a great fight, but I’m going with Superman high-extreme diff imo. https://t.co/hXHJgyKjhx",33
2,"|| He’d struggle against Thor, honestly. Two gods of war clashing against one another at their prime? Ares was just the tutorial. https://t.co/L443GL4vEl",33
3,"Rn I’ve got Ares and Thor at the forefront of my mind— I have yet to see an actual myth based Thor so, it could be extremely fun/2 https://t.co/jr0GsIMNpk",33
4,It’s crazy how I was thinking of doin Thor and Ares as the current top two choices right as you say this— // https://t.co/2AGUMZ2nQg,33
5,"/* I can see you as Thor, Ares, Zeus, Loki. https://t.co/PUujUQ1oFP",33
6,Since God of War ragnorak dropped I think I'm a do an ares Kratos and Thor drawing once I figure out the concept I'll put it out to the world n do a giveaway contest #staylethal #GodofWarRagnarok #idrawalilbit,33
7,"Between the aesir and the Olympians,the aesir despite being a warrior race who won wars with pure strength especially Odin before gaining magic are far weaker than the Olympians like Zeus who didn’t rely on magic after gaining magic,in all honesty,you put ares vs thor. ares wins",33
8,"By the word that openeth Hell
By Ra Hoor Khuit
By Elohim
By Samael
By Seraphim
By Hoor and Khem
By Gods ov War
Ares and Mars, and mighty Thor
Come Unto me Bartzabel

Vaya, esta mitología si me gusta
#behemoth https://t.co/kPkMrnrkUz",33
0,We’re getting introduced to so many stories and characters in the MCU. From Eros (Eternals) to Clea (DS2) to Hercules (Thor 4). I’m staying seated.,36
1,Enough time has passed #GodofWarRagnarok #Thor https://t.co/XhPoK8wWig,36
0,#PhallusWarShip #CTF007 #TheGame23 #Cicada3301 why are all rockets shaped like a penis from venus or anus from uranus the poopa from Juu-Put-Thor Supa Dupa Poopa Scoopa.. Let's eject from this Loopa https://t.co/EMFKNr4d5U,37
1,"1 God War Mars
2 God Sky Jupiter
3 God Speed Mercury
4 God Time Saturn
5 Goddess Love Venus
6 Goddess Earth Gaia
7 God Sky Uranus
8 God Seas Neptune 
9 God Underworld Pluto

1 God War Odin
2 God Thunder Thor
3 God Mischief Loki",37
0,Pov : Thor runs into Hades who is still grieving Persephone https://t.co/S0ZedXgN2A https://t.co/HccSfGPjVm,38
1,"what  a  surprise ,  Thor  liked  that  flower  and  picked  it ,  with  delicacy .  .  .   Persephone  was  intrigued  by  his  actions ,  however ,  she  suddenly  fell  on  the  ground.  a  loud  sound  was  made.

“  oh  great .  .  . ~  ” https://t.co/bDlXz07M0b",38
0,"Loki and Thor

#loki #thor #disney #hercules #disneycollection #hades #zeus #stitch #scar #pegasus #toys #figure https://t.co/MAH4tivEQL",40
1,Black people ruin the historical accuracy of my Greek God son of Zeus raising Loki and butchering the Nordic gods game https://t.co/ViMot1XhzA,40
2,"And Loki isn't Zeus's grandson in Norse mythology, either. What the fuck is your point? https://t.co/vCVpZ91p7W",40
3,"Religious people be believing in any shit their ‘God’ said like ‘Jesus said homosexuality is a sin and you all should follow the path as well’ Like bruh. Have you ever seen a Greek person saying and following Zeus's path? Like come on dude, isn't Loki a God as well?☠️",40
4,"Then by that logic, You should be mad about Kratos being the son of Zeus and raising his son named Loki. https://t.co/9DiDz17Nlk",40
5,"wait til he finds out Kratos isnt Zeus' son in Greek Mythology, nor is Loki Kratos' son in Norse Mythology, nor is Kratos the God of War in Greek Mythology, nor is Kratos himself of the caucasian persuasion. Gods, Dragons, Magic...but black people is where u draw the line....😭😭 https://t.co/5PPIB7Mqv2",40
6,"Ah yes, a black person in a mythological story featuring the demigod son of Zeus becomes father to Loki and fights a Giant Dude with a zappy hammer. So unrealistic. https://t.co/7p9DWdPbiT",40
7,Kratos a man from Greece the son of Zeus and the Greek god of War has Loki as a son did not fight Thor btw https://t.co/gDIPtqhT3S,40
8,Went for a walk in the park and added evidence to my theory that all big dogs are called Zeus and all small dogs are called Loki.,40
9,"i want there to be another god of war game playing as atreus so i have to pitch it to my non GoW friends as ""yeah you play as zeus' grandson, loki"" #GodOfWarRagnarok",40
10,"gow spoilers i think???
.
.
.
.
.
.
.
.
.
they're completely fine with loki being 15 and his grandfather being zeus but i think a black girl in a game about norse mythology is somehow wrong https://t.co/3IxCBR2MR3",40
11,"/* I can see you as Thor, Ares, Zeus, Loki. https://t.co/PUujUQ1oFP",40
12,So Zeus married his sister and Loki’s offspring is supposed to kill Zeus and cause ragnerrok ?,40
13,I've said it before and I'll say it again. Zeus's fursonas are the goose and bull and he's the first furry. Also Loki is a horse girl in the LITERAL SENSE OF THE WORD,40
14,Li Ling got me through the majority of the game and you give him the Nerf hammer? For no reason? Ridiculous! The more OP Espers like Zeus and Loki are already difficult to get without paying real money! https://t.co/1AylN7kyHQ,40
0,"Random drawing between 2 c0mmis$ions. 
-Evan belongs to me. (First pic)
-Mythological Dionysus and Loki (my perception) https://t.co/Rqxi4PcrvG",41
0,Loki’s a genius! https://t.co/CNSc9TYytr,43
1,"#PercyJackson #Hermes
- Magnus Chase remarks Loki is different to the MCU
- the MCU exists in the riordanverse
- In Hawkeye, Rogers the Musical is a parody of Hamilton, so Hamilton must exist to be parodied
- Hermes is played by Lin Manuel
- Hermes wrote Hamilton in Percy Jackson",43
